,date,sales
0,2013-01-01,454904
1,2013-02-01,459417
2,2013-03-01,617382
3,2013-04-01,682274
4,2013-05-01,763242
5,2013-06-01,795597
6,2013-07-01,855922
7,2013-08-01,766761
8,2013-09-01,689907
9,2013-10-01,656587
10,2013-11-01,692643
11,2013-12-01,506607
12,2014-01-01,525987
13,2014-02-01,529117
14,2014-03-01,704301
15,2014-04-01,788914
16,2014-05-01,882877
17,2014-06-01,906842
18,2014-07-01,989010
19,2014-08-01,885596
20,2014-09-01,785124
21,2014-10-01,758883
22,2014-11-01,800783
23,2014-12-01,578048
24,2015-01-01,552513
25,2015-02-01,551317
26,2015-03-01,730951
27,2015-04-01,824467
28,2015-05-01,926902
29,2015-06-01,937184
30,2015-07-01,1037350
31,2015-08-01,920401
32,2015-09-01,823332
33,2015-10-01,797253
34,2015-11-01,827645
35,2015-12-01,607572
36,2016-01-01,602439
37,2016-02-01,614957
38,2016-03-01,790881
39,2016-04-01,901950
40,2016-05-01,988730
41,2016-06-01,1022664
42,2016-07-01,1138718
43,2016-08-01,981494
44,2016-09-01,896831
45,2016-10-01,863637
46,2016-11-01,891448
47,2016-12-01,663411
48,2017-01-01,617306
49,2017-02-01,621369
50,2017-03-01,822667
51,2017-04-01,938862
52,2017-05-01,1020686
53,2017-06-01,1064624
54,2017-07-01,1171393
55,2017-08-01,1026403
56,2017-09-01,935263
57,2017-10-01,891160
58,2017-11-01,928837
59,2017-12-01,695170
